no_smear: 1.10637
sm_level:0 0.262275
no_smear: 1.13203
sm_level:0 0.250122
no_smear: 1.13878
sm_level:0 0.301659
no_smear: 1.14654
sm_level:0 0.295323
no_smear: 1.19483
sm_level:0 0.335905
no_smear: 1.12824
sm_level:0 0.337493
no_smear: 1.15074
sm_level:0 0.353477
no_smear: 1.13944
sm_level:0 0.306407
no_smear: 1.17244
sm_level:0 0.382462
no_smear: 1.14484
sm_level:0 0.362019
no_smear: 1.10983
sm_level:0 0.364906
no_smear: 1.20436
sm_level:0 0.371907
no_smear: 1.21319
sm_level:0 0.389495
no_smear: 1.22013
sm_level:0 0.397588
no_smear: 1.23459
sm_level:0 0.397815
no_smear: 1.25204
sm_level:0 0.403282
no_smear: 1.23156
sm_level:0 0.382449
no_smear: 1.2027
sm_level:0 0.357601
no_smear: 1.23549
sm_level:0 0.364743
no_smear: 1.20239
sm_level:0 0.388635
no_smear: 1.26987
sm_level:0 0.462867
no_smear: 1.26166
sm_level:0 0.473118
no_smear: 1.22628
sm_level:0 0.555445
no_smear: 1.20006
sm_level:0 0.50373
no_smear: 1.28297
sm_level:0 0.539887
no_smear: 1.28034
sm_level:0 0.52896
no_smear: 1.24966
sm_level:0 0.489714
no_smear: 1.20828
sm_level:0 0.491019
no_smear: 1.21742
sm_level:0 0.482749
no_smear: 1.24565
sm_level:0 0.463651
no_smear: 1.16952
sm_level:0 0.421303
no_smear: 1.23619
sm_level:0 0.472436
no_smear: 1.2368
sm_level:0 0.500345
no_smear: 1.27623
sm_level:0 0.500628
no_smear: 1.3034
sm_level:0 0.511655
no_smear: 1.24961
sm_level:0 0.471606
no_smear: 1.28525
sm_level:0 0.495026
no_smear: 1.31622
sm_level:0 0.525404
no_smear: 1.24482
sm_level:0 0.434008
no_smear: 1.21663
sm_level:0 0.455073
no_smear: 1.2548
sm_level:0 0.533629
no_smear: 1.25922
sm_level:0 0.523095
no_smear: 1.24857
sm_level:0 0.475066
no_smear: 1.17675
sm_level:0 0.419952
no_smear: 1.22098
sm_level:0 0.461631
no_smear: 1.28463
sm_level:0 0.497686
no_smear: 1.26877
sm_level:0 0.47881
no_smear: 1.25716
sm_level:0 0.478192
no_smear: 1.19122
sm_level:0 0.436855
no_smear: 1.2386
sm_level:0 0.429662
no_smear: 1.21207
sm_level:0 0.455092
no_smear: 1.27956
sm_level:0 0.517246
no_smear: 1.30801
sm_level:0 0.502855
no_smear: 1.28004
sm_level:0 0.536783
no_smear: 1.32594
sm_level:0 0.544188
no_smear: 1.33804
sm_level:0 0.579311
no_smear: 1.34645
sm_level:0 0.621603
no_smear: 1.31768
sm_level:0 0.532986
no_smear: 1.35442
sm_level:0 0.577866
no_smear: 1.3313
sm_level:0 0.556607
no_smear: 1.25503
sm_level:0 0.539855
no_smear: 1.22956
sm_level:0 0.499596
no_smear: 1.23133
sm_level:0 0.465479
no_smear: 1.24075
sm_level:0 0.455899
no_smear: 1.23167
sm_level:0 0.478679
no_smear: 1.29326
sm_level:0 0.49534
no_smear: 1.27261
sm_level:0 0.565085
no_smear: 1.30748
sm_level:0 0.559239
no_smear: 1.32954
sm_level:0 0.603599
no_smear: 1.31851
sm_level:0 0.51322
no_smear: 1.33095
sm_level:0 0.562306
no_smear: 1.30589
sm_level:0 0.586249
no_smear: 1.2614
sm_level:0 0.611433
no_smear: 1.29206
sm_level:0 0.572468
no_smear: 1.25832
sm_level:0 0.531443
no_smear: 1.19471
sm_level:0 0.455151
no_smear: 1.16699
sm_level:0 0.444331
no_smear: 1.20907
sm_level:0 0.409857
no_smear: 1.17754
sm_level:0 0.424449
no_smear: 1.19856
sm_level:0 0.435254
no_smear: 1.25423
sm_level:0 0.495257
no_smear: 1.28443
sm_level:0 0.481728
no_smear: 1.31134
sm_level:0 0.560981
no_smear: 1.29281
sm_level:0 0.588427
no_smear: 1.30566
sm_level:0 0.541019
no_smear: 1.24036
sm_level:0 0.467537
no_smear: 1.21742
sm_level:0 0.466555
no_smear: 1.19323
sm_level:0 0.413049
no_smear: 1.20654
sm_level:0 0.398258
no_smear: 1.20499
sm_level:0 0.415572
no_smear: 1.23846
sm_level:0 0.434937
no_smear: 1.20045
sm_level:0 0.419166
no_smear: 1.23113
sm_level:0 0.437974
no_smear: 1.18683
sm_level:0 0.415621
no_smear: 1.20367
sm_level:0 0.434663
no_smear: 1.21686
sm_level:0 0.433317
no_smear: 1.25819
sm_level:0 0.480113
no_smear: 1.25135
sm_level:0 0.509215
no_smear: 1.22316
sm_level:0 0.475231
no_smear: 1.21977
sm_level:0 0.423047
